Incident ID,Rule ID,Incident Type,Description,Severity,Incident Score,Alert Count,Root Process,Involved Processes,Detections,MITRE Tactics,C2 IPs,First Seen,Last Seen,Analyst Action
INC-002-C41E7E,INC-002,Defense Evasion + Persistence,Attacker disabling security tools (Defender exclusion) immediately followed by persistence installation.,CRITICAL,100,51,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,Integrator.exe | powershell.exe | cmd.exe | reg.exe,Defense Evasion | EDR Rule Detection | LOLBin Abuse | Persistence | PowerShell Payload | Rare Parent-Child | Sigma Match,TA0005 | TA0003,-,"Jun 1, 2026 @ 14:21:16.667","Jun 1, 2026 @ 14:24:52.501",Escalate Immediately
INC-003-0B6A83,INC-003,Download-and-Execute Dropper,PowerShell or LOLBin downloading a payload and immediately executing it.,HIGH,100,344,C:\Windows\System32\wscript.exe,wscript.exe | powershell.exe | schtasks.exe | cmd.exe | msiexec.exe | reg.exe,Defense Evasion | Download Execute | EDR Rule Detection | External Communication | LOLBin Abuse | Persistence | Persistence via Cmdline | PowerShell Payload | Rare Parent-Child | Recon / IP Discovery | Sigma Match | Suspicious Parent-Child,TA0002 | TA0105,- | 127.0.0.1 | 34.117.59.81 | 217.160.0.149,"Jun 1, 2026 @ 14:21:04.987","Jun 1, 2026 @ 14:24:52.513",Investigate
INC-005-E26185,INC-005,Scheduled Task / Script Persistence Abuse,Scheduled task or Run key set up to launch a script interpreter from a user-writable path — living-off-the-land persistence.,HIGH,100,29,C:\Windows\System32\wscript.exe,wscript.exe | Integrator.exe | reg.exe,EDR Rule Detection | LOLBin Abuse | Persistence | Rare Parent-Child | Sigma Match | Suspicious Parent-Child,TA0003 | TA0002,-,"Jun 1, 2026 @ 14:21:16.667","Jun 1, 2026 @ 14:24:52.513",Investigate
INC-006-10771F,INC-006,LOLBin Execution Chain,Multiple LOLBins used in sequence — typical fileless attack pattern.,MEDIUM,100,374,C:\Windows\System32\wscript.exe,wscript.exe | powershell.exe | schtasks.exe | cmd.exe | msiexec.exe | reg.exe,Defense Evasion | Download Execute | EDR Rule Detection | External Communication | LOLBin Abuse | Malware Staging | Network Outlier | Persistence | Persistence via Cmdline | PowerShell Payload | Rare Parent-Child | Rare Process | Recon / IP Discovery | Sigma Match | Suspicious Parent-Child,TA0002,- | 127.0.0.1 | 34.117.59.81 | 217.160.0.149,"Jun 1, 2026 @ 14:21:04.987","Jun 1, 2026 @ 14:24:52.513",Investigate
INC-007-2E4191,INC-007,Sigma Rule Critical Cluster,Multiple Sigma rules fired on the same session — high-confidence threat.,HIGH,100,990,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe | wscript.exe | uusd.exe | Integrator.exe | EXCEL.EXE | powershell.exe,Defense Evasion | Download Execute | EDR Rule Detection | External Communication | LOLBin Abuse | Malware Staging | Network Outlier | Persistence | Persistence via Cmdline | PowerShell Payload | Rare Parent-Child | Rare Process | Recon / IP Discovery | Sigma Match | Suspicious Parent-Child,TA0002,- | 127.0.0.1 | 52.110.14.133 | 94.130.10.179 | 95.179.162.106,"Jun 1, 2026 @ 14:21:04.987","Jun 1, 2026 @ 14:24:52.516",Investigate
