Timestamp,Process,Parent Process,Command Line,Detection Type,Risk Score,Investigation Reason,Source IP,Destination IP,Registry Path,File Path,DNS Query,Event Action,PID,MITRE Technique,MITRE Name,Allowlisted,Severity,Confidence,FP Assessment,Analyst Verdict,Recommendation,Alert ID
"Jun 1, 2026 @ 14:24:48.327",C:\Users\Public\Pictures\kelotopu\uusd.exe,-,-,Malware Staging | Network Outlier | Sigma Match,80,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; Abnormally high distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\Sarthak_Primus\AppData\Roaming\tor\state,-,deletion,"7,288",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-EF54AC35
"Jun 1, 2026 @ 14:22:04.649",C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,C:\Users\DELL\Downloads\microsoft-365-16-0-19725-20152.exe,microsoft-365-16-0-19725-20152.exe RELAUNCHED ,Malware Staging | Rare Parent-Child | Sigma Match,80,Rare parent-child pair: microsoft-365-16-0-19725-20152.exe->microsoft-365-16-0-19725-20152.exe ; Execution from user-writable path: c:\users\dell\downloads\microsoft-365-16-0-19725-20152.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,end,"33,012",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-0872E047
"Jun 1, 2026 @ 14:24:15.351",C:\Users\Public\Pictures\kelotopu\uusd.exe,-,-,Malware Staging | Network Outlier | Sigma Match,80,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; Abnormally high distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\Sarthak_Primus\AppData\Roaming\tor\unverified-microdesc-consensus,-,rename,"7,288",T1036,Masquerading,False,CRITICAL,MEDIUM,Highly Suspicious,Escalate Immediately,Collect file artefacts; hash and submit to VT,AH-8CDE67A5
"Jun 1, 2026 @ 14:23:25.346",C:\Windows\System32\reg.exe,C:\Users\DELL\office_portable_x3.exe,"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v xuvotopo /t REG_SZ /d ""wscript.exe \""C:\Users\Public\Pictures\kelotopu\xuvotopo.js\"""" /f",LOLBin Abuse | Sigma Match,70,LOLBin executed: reg.exe ; reg.exe adding a Run key entry,-,-,-,-,-,start,"12,252",T1547.001,Registry Run Keys / Startup Folder,False,HIGH,MEDIUM,Suspicious,Investigate,Review full command line and parent process chain,AH-95B6821C
"Jun 1, 2026 @ 14:23:25.852",C:\Windows\System32\reg.exe,C:\Users\DELL\office_portable_x3.exe,"reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v xuvotopo /t REG_SZ /d ""wscript.exe \""C:\Users\Public\Pictures\kelotopu\xuvotopo.js\"""" /f",LOLBin Abuse | Sigma Match,70,LOLBin executed: reg.exe ; reg.exe adding a Run key entry,-,-,-,-,-,end,"12,252",T1547.001,Registry Run Keys / Startup Folder,False,HIGH,MEDIUM,Suspicious,Investigate,Review full command line and parent process chain,AH-F99FA65F
"Jun 1, 2026 @ 14:23:05.323",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,65,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,load,"30,312",T1036,Masquerading,False,HIGH,MEDIUM,Suspicious,Investigate,Collect file artefacts; hash and submit to VT,AH-2488E5A2
"Jun 1, 2026 @ 14:23:05.885",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,65,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,load,"30,312",T1036,Masquerading,False,HIGH,MEDIUM,Suspicious,Investigate,Collect file artefacts; hash and submit to VT,AH-B86526C3
"Jun 1, 2026 @ 14:23:05.906",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,65,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,-,-,load,"30,312",T1036,Masquerading,False,HIGH,MEDIUM,Suspicious,Investigate,Collect file artefacts; hash and submit to VT,AH-8A0C21C1
"Jun 1, 2026 @ 14:23:17.642",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,65,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\Public\Pictures\kelotopu\GUID,-,creation,"30,312",T1036,Masquerading,False,HIGH,MEDIUM,Suspicious,Investigate,Collect file artefacts; hash and submit to VT,AH-6DC90984
"Jun 1, 2026 @ 14:23:19.383",C:\Users\DELL\office_portable_x3.exe,-,-,Malware Staging | Sigma Match,65,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,-,-,-,C:\Users\Public\Pictures\kelotopu\uusd.exe,-,creation,"30,312",T1036,Masquerading,False,HIGH,MEDIUM,Suspicious,Investigate,Collect file artefacts; hash and submit to VT,AH-6A88A6C1
