Chain ID,Root Process,Child Process,Full Child Path,Chain Risk Score,Detection Count,Detections,Chain Summary,MITRE Technique,MITRE Name
AC-0058,svchost.exe,lockapp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,60,2,Rare Parent-Child | Rare Process,svchost.exe → lockapp.exe,,
AC-0063,-,vc_redist.x86.exe,C:\Windows\Temp\{4D6017BE-87C2-47B2-8E1B-AA3353D660BA}\.be\VC_redist.x86.exe,60,3,Malware Staging,- → vc_redist.x86.exe,,
AC-0065,-,vc_redist.x64.exe,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,60,3,Malware Staging,- → vc_redist.x64.exe,,
AC-0005,explorer.exe,excel.exe,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,60,2,Network Outlier | Rare Parent-Child,explorer.exe → excel.exe,,
AC-0008,-,onedrivestandaloneupdater.exe,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,60,4,External Communication,- → onedrivestandaloneupdater.exe,,
AC-0026,-,msiexec.exe,C:\Windows\SysWOW64\msiexec.exe,50,2,LOLBin Abuse,- → msiexec.exe,T1218,
AC-0010,-,ms-teams.exe,C:\Program Files\WindowsApps\MSTeams_26106.1911.4707.3286_x64__8wekyb3d8bbwe\ms-teams.exe,45,1,External Communication | Rare Parent-Child | Rare Process,- → ms-teams.exe,,
AC-0060,vc_redist.x64.exe,vc_redist.x64.exe,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,40,2,Malware Staging,vc_redist.x64.exe → vc_redist.x64.exe,,
AC-0033,windowsterminal.exe,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,40,1,LOLBin Abuse | Rare Parent-Child,windowsterminal.exe → powershell.exe,T1059.001,PowerShell
AC-0066,vc_redist.x64.exe,vc_redist.x64.exe,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,40,2,Malware Staging,vc_redist.x64.exe → vc_redist.x64.exe,,
AC-0062,vc_redist.x86.exe,vc_redist.x86.exe,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,40,2,Malware Staging,vc_redist.x86.exe → vc_redist.x86.exe,,
AC-0064,vc_redist.x86.exe,vc_redist.x86.exe,C:\Windows\Temp\{4D6017BE-87C2-47B2-8E1B-AA3353D660BA}\.be\VC_redist.x86.exe,40,2,Malware Staging,vc_redist.x86.exe → vc_redist.x86.exe,,
AC-0001,officeclicktorun.exe,vc_redist.x64.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x64.exe,30,2,Rare Parent-Child,officeclicktorun.exe → vc_redist.x64.exe,,
AC-0002,officeclicktorun.exe,vc_redist.x86.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x86.exe,30,2,Rare Parent-Child,officeclicktorun.exe → vc_redist.x86.exe,,
AC-0009,svchost.exe,onedrivestandaloneupdater.exe,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,30,2,Rare Parent-Child,svchost.exe → onedrivestandaloneupdater.exe,,
AC-0006,-,olicenseheartbeat.exe,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\OLicenseHeartbeat.exe,30,2,External Communication,- → olicenseheartbeat.exe,,
AC-0007,officeclicktorun.exe,olicenseheartbeat.exe,C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\OLicenseHeartbeat.exe,30,2,Rare Parent-Child,officeclicktorun.exe → olicenseheartbeat.exe,,
AC-0014,wt.exe,windowsterminal.exe,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,30,1,Rare Parent-Child | Rare Process,wt.exe → windowsterminal.exe,,
AC-0013,windowsterminal.exe,openconsole.exe,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\OpenConsole.exe,30,1,Rare Parent-Child | Rare Process,windowsterminal.exe → openconsole.exe,,
AC-0012,svchost.exe,ms-teamsupdate.exe,C:\Program Files\WindowsApps\MSTeams_26106.1911.4707.3286_x64__8wekyb3d8bbwe\ms-teamsupdate.exe,30,2,Rare Parent-Child,svchost.exe → ms-teamsupdate.exe,,
AC-0016,svchost.exe,hxtsr.exe,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22342.0_x64__8wekyb3d8bbwe\HxTsr.exe,30,2,Rare Parent-Child,svchost.exe → hxtsr.exe,,
AC-0055,services.exe,sppsvc.exe,C:\Windows\System32\sppsvc.exe,30,2,Rare Parent-Child,services.exe → sppsvc.exe,,
AC-0029,searchindexer.exe,searchfilterhost.exe,C:\Windows\System32\SearchFilterHost.exe,30,2,Rare Parent-Child,searchindexer.exe → searchfilterhost.exe,,
AC-0037,svchost.exe,consent.exe,C:\Windows\System32\consent.exe,30,2,Rare Parent-Child,svchost.exe → consent.exe,,
AC-0041,svchost.exe,dllhost.exe,C:\Windows\System32\dllhost.exe,30,2,Rare Parent-Child,svchost.exe → dllhost.exe,,
AC-0053,-,smartscreen.exe,C:\Windows\System32\smartscreen.exe,30,2,External Communication,- → smartscreen.exe,,
AC-0028,-,searchfilterhost.exe,C:\Windows\System32\SearchFilterHost.exe,15,1,Rare Parent-Child,- → searchfilterhost.exe,,
AC-0040,-,dllhost.exe,C:\Windows\System32\dllhost.exe,15,1,Rare Parent-Child,- → dllhost.exe,,
AC-0054,svchost.exe,smartscreen.exe,C:\Windows\System32\smartscreen.exe,15,1,Rare Parent-Child,svchost.exe → smartscreen.exe,,
