"@timestamp","process.parent.executable","process.parent.command_line","process.executable","process.command_line","process.pid","file.path","Target.process.executable","Target.process.pid","source.ip","destination.ip","dns.question.name","dll.path","registry.path","event.action"
"Jun 1, 2026 @ 14:21:05.153","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\ServiceWatcherSchedule.xml""","28,276","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.159","-","-","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","-","10,052","-","-","-","-","-","-","-","HKEY_USERS\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass",modification
"Jun 1, 2026 @ 14:21:05.159","-","-","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","-","10,052","-","-","-","-","-","-","-","HKEY_USERS\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName",modification
"Jun 1, 2026 @ 14:21:05.160","-","-","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","-","10,052","-","-","-","-","-","-","-","HKEY_USERS\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet",modification
"Jun 1, 2026 @ 14:21:05.160","-","-","C:\Program Files\Microsoft Office\root\Integration\Integrator.exe","-","10,052","-","-","-","-","-","-","-","HKEY_USERS\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect",modification
"Jun 1, 2026 @ 14:21:05.172","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\ServiceWatcherSchedule.xml""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","1,088","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.226","-","-","C:\Windows\System32\schtasks.exe","-","28,276","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:05.235","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Path",modification
"Jun 1, 2026 @ 14:21:05.236","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Hash",modification
"Jun 1, 2026 @ 14:21:05.236","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Schema",modification
"Jun 1, 2026 @ 14:21:05.236","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Date",modification
"Jun 1, 2026 @ 14:21:05.237","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Description",modification
"Jun 1, 2026 @ 14:21:05.237","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Author",modification
"Jun 1, 2026 @ 14:21:05.237","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\URI",modification
"Jun 1, 2026 @ 14:21:05.238","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Triggers",modification
"Jun 1, 2026 @ 14:21:05.238","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\Actions",modification
"Jun 1, 2026 @ 14:21:05.407","-","-","C:\Windows\System32\svchost.exe","-","1,964","C:\Windows\System32\Tasks\Microsoft\Office\Office ClickToRun Service Monitor","-","-","-","-","-","-","-",creation
"Jun 1, 2026 @ 14:21:05.408","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{CC15E8BE-01A2-4463-B319-42BBF4BCC1DB}\DynamicInfo",modification
"Jun 1, 2026 @ 14:21:05.415","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\ServiceWatcherSchedule.xml""","28,276","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.420","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\ServiceWatcherSchedule.xml""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","1,088","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.421","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /enable","27,516","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.443","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","25,604","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.504","-","-","C:\Windows\System32\schtasks.exe","-","27,516","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:05.513","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /enable","27,516","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.516","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office ClickToRun Service Monitor"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","25,604","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.517","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates"" /enable","16,272","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.525","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:05.525","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:05.525","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:05.533","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","35,696","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.585","-","-","C:\Windows\System32\schtasks.exe","-","16,272","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:05.589","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates"" /enable","16,272","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.595","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","35,696","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.598","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office Automatic Updates 2.0""","20,616","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.608","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office Automatic Updates 2.0""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","20,976","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.666","-","-","C:\Windows\System32\schtasks.exe","-","20,616","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:05.681","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office Automatic Updates 2.0""","20,616","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.685","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","36,860","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.686","C:\Windows\System32\schtasks.exe","schtasks.exe /Delete /F /tn ""Microsoft\Office\Office Automatic Updates 2.0""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","20,976","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:05.700","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","19,652","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:05.952","-","-","C:\Windows\System32\schtasks.exe","-","36,860","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
