Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
1,32088,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,19904,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,12184,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,20840,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,2,,0,,
1,31520,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,20852,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,12968,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,26708,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,37760,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,33704,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,33300,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
1,26108,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe,1,,0,,
2,7288,C:\Users\Public\Pictures\kelotopu\uusd.exe,uusd.exe,C:\Windows\System32\wscript.exe,wscript.exe,26,CRITICAL,100,Malware Staging | Network Outlier | Sigma Match,YES
