Timeline #,Timestamp,Alert ID,Tactic ID,Tactic,Tactic Order,Process,Parent Process,Detection Type,Risk Score,Severity,MITRE Technique,MITRE Name,Destination IP,Registry Path,Detail
1,"Jun 1, 2026 @ 14:21:44.505",AH-F340B7FA,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x64.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
2,"Jun 1, 2026 @ 14:21:44.584",AH-7CC046DD,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
3,"Jun 1, 2026 @ 14:21:44.606",AH-C4C3F510,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
4,"Jun 1, 2026 @ 14:21:44.607",AH-8E2F10B5,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
5,"Jun 1, 2026 @ 14:21:44.608",AH-8F3183C5,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
6,"Jun 1, 2026 @ 14:21:44.609",AH-678CA06D,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
7,"Jun 1, 2026 @ 14:21:44.610",AH-2F65235E,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
8,"Jun 1, 2026 @ 14:21:44.612",AH-4C1DAC08,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
9,"Jun 1, 2026 @ 14:21:44.613",AH-1075047A,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
10,"Jun 1, 2026 @ 14:21:44.614",AH-21AB6D65,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
11,"Jun 1, 2026 @ 14:21:44.615",AH-EA194F2B,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
12,"Jun 1, 2026 @ 14:21:44.617",AH-38175E95,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
13,"Jun 1, 2026 @ 14:21:44.618",AH-913C3808,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
14,"Jun 1, 2026 @ 14:21:44.619",AH-6FA5A3D1,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
15,"Jun 1, 2026 @ 14:21:44.620",AH-6F21D99B,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
16,"Jun 1, 2026 @ 14:21:44.622",AH-EC770C12,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
17,"Jun 1, 2026 @ 14:21:44.623",AH-FDA76674,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
18,"Jun 1, 2026 @ 14:21:44.624",AH-9651653F,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
19,"Jun 1, 2026 @ 14:21:44.626",AH-B598E935,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
20,"Jun 1, 2026 @ 14:21:44.627",AH-491CFB95,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
21,"Jun 1, 2026 @ 14:21:44.628",AH-77D49CC6,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
22,"Jun 1, 2026 @ 14:21:44.630",AH-E36A13AE,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
23,"Jun 1, 2026 @ 14:21:44.631",AH-C28EDDC2,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
24,"Jun 1, 2026 @ 14:21:44.632",AH-66C341C2,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
25,"Jun 1, 2026 @ 14:21:44.633",AH-9F5AE730,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
26,"Jun 1, 2026 @ 14:21:44.635",AH-D60880BC,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
27,"Jun 1, 2026 @ 14:21:44.636",AH-54BECACE,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
28,"Jun 1, 2026 @ 14:21:44.637",AH-18E4339E,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
29,"Jun 1, 2026 @ 14:21:44.639",AH-D3833A96,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
30,"Jun 1, 2026 @ 14:21:44.640",AH-B3DD39CF,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
31,"Jun 1, 2026 @ 14:21:44.642",AH-E9C5AAE0,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
32,"Jun 1, 2026 @ 14:21:44.643",AH-9E86F3FD,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
33,"Jun 1, 2026 @ 14:21:44.644",AH-E63AA894,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
34,"Jun 1, 2026 @ 14:21:44.645",AH-5114F6FB,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
35,"Jun 1, 2026 @ 14:21:44.713",AH-3B0B0866,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
36,"Jun 1, 2026 @ 14:21:44.974",AH-D7550645,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
37,"Jun 1, 2026 @ 14:21:45.059",AH-4D6C1652,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
38,"Jun 1, 2026 @ 14:21:45.060",AH-39808D51,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
39,"Jun 1, 2026 @ 14:21:45.061",AH-E763C5BC,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
40,"Jun 1, 2026 @ 14:21:45.118",AH-D08C4516,TA0001,Initial Access,0,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{78d4ddb5-69a4-4e33-8d81-c18d0fee1b6e}\.be\vc_redist.x64.exe
41,"Jun 1, 2026 @ 14:21:45.217",AH-F4A5F3AF,TA0001,Initial Access,0,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{78d4ddb5-69a4-4e33-8d81-c18d0fee1b6e}\.be\vc_redist.x64.exe
42,"Jun 1, 2026 @ 14:21:45.749",AH-340A78B7,TA0001,Initial Access,0,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{78d4ddb5-69a4-4e33-8d81-c18d0fee1b6e}\.be\vc_redist.x64.exe
43,"Jun 1, 2026 @ 14:21:45.764",AH-AAE4471A,TA0001,Initial Access,0,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{78d4ddb5-69a4-4e33-8d81-c18d0fee1b6e}\.be\vc_redist.x64.exe
44,"Jun 1, 2026 @ 14:21:45.801",AH-27D06E7E,TA0001,Initial Access,0,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{78d4ddb5-69a4-4e33-8d81-c18d0fee1b6e}\.be\vc_redist.x64.exe
45,"Jun 1, 2026 @ 14:21:45.807",AH-5E12686B,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
46,"Jun 1, 2026 @ 14:21:45.808",AH-87889E29,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
47,"Jun 1, 2026 @ 14:21:45.809",AH-364BE834,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
48,"Jun 1, 2026 @ 14:21:45.810",AH-821FA96A,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
49,"Jun 1, 2026 @ 14:21:45.811",AH-A9B1B147,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
50,"Jun 1, 2026 @ 14:21:45.812",AH-5F94BA7A,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
51,"Jun 1, 2026 @ 14:21:45.813",AH-F087C657,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
52,"Jun 1, 2026 @ 14:21:45.814",AH-667D9F22,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
53,"Jun 1, 2026 @ 14:21:45.815",AH-C11EF935,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
54,"Jun 1, 2026 @ 14:21:45.816",AH-60F6AD3B,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
55,"Jun 1, 2026 @ 14:21:45.817",AH-24CF2062,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
56,"Jun 1, 2026 @ 14:21:45.818",AH-AEEFD114,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
57,"Jun 1, 2026 @ 14:21:45.819",AH-0596CDBF,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
58,"Jun 1, 2026 @ 14:21:45.820",AH-366797D3,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
59,"Jun 1, 2026 @ 14:21:45.821",AH-2A66CCFC,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
60,"Jun 1, 2026 @ 14:21:45.822",AH-E459760E,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
61,"Jun 1, 2026 @ 14:21:45.823",AH-7EBE900E,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
62,"Jun 1, 2026 @ 14:21:45.824",AH-742A988F,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
63,"Jun 1, 2026 @ 14:21:45.825",AH-021BEC8F,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
64,"Jun 1, 2026 @ 14:21:45.826",AH-68C29731,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,40,MEDIUM,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
65,"Jun 1, 2026 @ 14:21:45.827",AH-BD697DFE,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,60,HIGH,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
66,"Jun 1, 2026 @ 14:21:45.828",AH-0BFB9F36,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
67,"Jun 1, 2026 @ 14:21:45.830",AH-C6A0D886,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
68,"Jun 1, 2026 @ 14:21:45.853",AH-451EEBCE,TA0001,Initial Access,0,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x64.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{20a855c1-ae88-4232-8344-2b69a1f8bd6b}\.cr\vc_redist.x64.exe
69,"Jun 1, 2026 @ 14:21:46.217",AH-EE140E04,TA0001,Initial Access,0,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x86.exe,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{27e1843a-2f51-4486-b11c-361ab8d51008}\.cr\vc_redist.x86.exe
70,"Jun 1, 2026 @ 14:21:46.301",AH-A9179B14,TA0001,Initial Access,0,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{27e1843a-2f51-4486-b11c-361ab8d51008}\.cr\vc_redist.x86.exe
71,"Jun 1, 2026 @ 14:21:46.326",AH-C826FAB3,TA0001,Initial Access,0,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\temp\{27e1843a-2f51-4486-b11c-361ab8d51008}\.cr\vc_redist.x86.exe
