Timeline #,Timestamp,Alert ID,Tactic ID,Tactic,Tactic Order,Process,Parent Process,Detection Type,Risk Score,Severity,MITRE Technique,MITRE Name,Destination IP,Registry Path,Detail
283,"Jun 1, 2026 @ 14:23:27.264",AH-C63C7E6E,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
284,"Jun 1, 2026 @ 14:23:27.265",AH-168F2198,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
285,"Jun 1, 2026 @ 14:23:27.266",AH-7113A835,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
286,"Jun 1, 2026 @ 14:23:27.267",AH-385F9347,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
287,"Jun 1, 2026 @ 14:23:27.268",AH-CBB520BF,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
288,"Jun 1, 2026 @ 14:23:27.273",AH-3412C030,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\cmd.exe,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
289,"Jun 1, 2026 @ 14:23:33.420",AH-18CFDA09,TA0001,Initial Access,0,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\systemapps\microsoftwindows.client.cbs_cw5n1h2txyewy\searchhost.exe
290,"Jun 1, 2026 @ 14:23:34.169",AH-45ABAD63,TA0001,Initial Access,0,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\systemapps\microsoftwindows.client.cbs_cw5n1h2txyewy\searchhost.exe
291,"Jun 1, 2026 @ 14:23:34.204",AH-880B29C3,TA0001,Initial Access,0,C:\Windows\explorer.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\explorer.exe
292,"Jun 1, 2026 @ 14:23:34.454",AH-6B468803,TA0001,Initial Access,0,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\systemapps\microsoftwindows.client.cbs_cw5n1h2txyewy\searchhost.exe
293,"Jun 1, 2026 @ 14:23:41.539",AH-162E89C3,TA0001,Initial Access,0,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,Malware Staging,20,LOW,,,,,Execution from user-writable path: c:\windows\systemapps\microsoftwindows.client.cbs_cw5n1h2txyewy\searchhost.exe
294,"Jun 1, 2026 @ 14:23:53.261",AH-AC78AF4A,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,"Security rule fired on: office_portable_x3.exe | ""C:\Users\DELL\office_portable_x3.exe""  ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper"
295,"Jun 1, 2026 @ 14:23:53.265",AH-2F2CDD05,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,"Security rule fired on: office_portable_x3.exe | ""C:\Users\DELL\office_portable_x3.exe""  ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper"
296,"Jun 1, 2026 @ 14:23:53.295",AH-C18C29B9,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\cmd.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Security rule fired on: office_portable_x3.exe | C:\Users\DELL\office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
297,"Jun 1, 2026 @ 14:23:53.298",AH-5700B394,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Security rule fired on: office_portable_x3.exe | C:\Users\DELL\office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
298,"Jun 1, 2026 @ 14:23:53.314",AH-98E2C824,TA0001,Initial Access,0,C:\Windows\System32\curl.exe,C:\Users\DELL\office_portable_x3.exe,EDR Rule Detection | LOLBin Abuse | Recon / IP Discovery,100,CRITICAL,T1016,System Network Config Discovery,,,Security rule fired on: curl.exe | curl -s --max-time 10 https://ipinfo.io/country ; Living-off-the-land binary: curl.exe ; Recon DNS query: ipinfo.io
299,"Jun 1, 2026 @ 14:24:02.280",AH-BF21A762,TA0001,Initial Access,0,C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child | Svchost Script Spawn,100,CRITICAL,T1059.005,Visual Basic,,,"Security rule fired on: wscript.exe | ""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js ; Living-off-the-land binary: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost spawned script engine with suspicious path: ""c:\windows\system32\wscript.exe"" c:\users\public\pictures\kelotopu\xuvotopo.js"
