IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120637v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.487",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120638v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.488",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120639v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.489",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120640v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.490",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120641v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.491",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120642v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.493",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120643v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.494",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120644v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.495",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120645v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.496",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120646v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.497",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120647v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.499",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120648v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.500",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120649v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.501",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120650v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.502",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120651v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.503",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120652v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.504",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120653v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.505",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120654v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.506",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120655v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.508",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120656v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.509",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120657v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.510",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120658v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.512",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120659v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.513",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120660v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.514",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120661v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.515",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120662v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.516",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120663v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.517",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120664v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.518",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120665v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.519",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120666v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.521",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120667v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.522",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120668v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.523",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120669v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.524",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120670v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.526",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120671v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.527",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120672v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.528",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120673v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.529",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120674v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.530",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120675v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.531",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120676v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.532",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120677v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.534",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120678v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.535",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120679v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.536",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120680v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.537",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120681v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.539",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120682v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.540",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule130010v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.541",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120402v21.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.542",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120602v10.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.544",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule120601v3.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.545",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule224901v11.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.546",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule90401v3.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.547",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701201v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.548",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701200v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.550",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700201v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.551",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700200v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.552",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702351v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.553",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702350v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.555",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701251v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.556",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701250v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.557",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700051v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.559",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700050v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.560",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702951v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.562",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702950v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.563",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701151v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.564",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701150v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.566",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702201v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.567",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702200v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.568",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700401v2.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.570",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700400v2.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.571",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700351v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.572",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700350v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.574",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703901v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.575",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703900v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.577",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701501v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.579",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701500v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.580",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702801v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.581",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702800v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.582",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703351v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.584",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703350v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.585",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703501v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.586",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703500v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.587",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701801v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.589",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701800v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.590",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701051v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.592",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701050v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.594",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702751v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.595",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702750v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.596",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702301v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.597",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702300v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.598",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703401v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.599",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703400v0.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.601",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702501v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.602",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702500v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.603",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700501v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.604",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700500v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.605",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702551v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.606",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702550v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.607",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701351v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.608",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule701350v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.610",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702151v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.611",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule702150v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.612",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703001v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.613",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule703000v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.614",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700751v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.615",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700750v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.617",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\Office\16.0\officeclicktorun.exe_Rules\rule700151v1.xml,file.path,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:07.618",Medium,Unknown,,0
