IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\psutil\_psutil_windows.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.739",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\pyarmor_runtime_000000\pyarmor_runtime.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.748",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\python3.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.750",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\python313.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.825",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\select.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.828",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI99162\unicodedata.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:22:58.837",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\VCRUNTIME140.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.749",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\VCRUNTIME140_1.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.751",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_bz2.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.754",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_ctypes.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.756",Medium,Suspicious,Suspicious path,70
